UKREIS,UJAHR,UMONAT,UTAG,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP,LICHT,USTRZUSTAND,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,@lon,@lat
12,23,4,14,19,6,3,0,1,2,1,1,0,0,0,0,0,13.776036,51.110709
26,23,4,13,3,5,3,0,1,2,0,1,0,0,0,0,0,14.800779,50.898779
12,23,4,13,19,5,3,5,3,1,0,1,1,0,0,0,0,13.72136,51.041763
29,23,4,12,11,4,2,0,7,0,0,1,0,0,0,0,0,12.414075,51.149361
28,23,4,12,13,4,3,4,1,0,0,1,1,0,0,0,0,14.13288,50.929556
28,23,4,12,16,4,3,5,3,0,0,1,1,0,0,0,0,13.93377,50.967388
12,23,4,11,11,3,3,5,3,0,0,1,1,0,0,0,0,13.647096,51.084481
21,23,4,11,10,3,3,0,7,0,0,1,0,0,0,0,0,12.69512,50.732751
12,23,5,3,17,4,3,9,1,0,0,1,1,0,0,0,0,13.886166,51.068407
22,23,4,10,14,2,3,2,2,0,0,1,1,0,0,0,0,13.230862,51.045139
26,23,4,9,0,1,2,8,1,2,0,1,0,0,0,0,0,14.796773,50.899402
27,23,4,9,12,1,3,8,1,0,0,1,0,0,0,0,0,13.322303,51.302447
11,23,4,9,4,1,3,0,1,2,0,1,0,0,0,0,0,12.848684,50.881016
29,23,4,8,13,7,3,5,3,0,0,1,1,0,0,0,0,12.542029,51.354167
30,23,4,8,11,7,1,5,3,0,0,1,1,0,0,0,0,12.947733,51.594219
29,23,4,7,13,6,3,0,7,0,0,1,0,0,0,0,0,12.547905,51.346384
27,23,4,7,1,6,3,0,1,2,0,1,0,0,0,0,0,13.574544,51.333093
13,23,4,6,8,5,3,5,2,0,0,1,1,0,0,0,0,12.433022,51.299101
12,23,4,6,20,5,2,0,7,2,0,1,0,0,0,0,0,13.655338,51.06819
29,23,4,4,16,3,3,1,7,0,0,1,1,0,0,0,0,12.639284,51.367522
13,23,4,4,15,3,3,5,3,0,0,1,1,0,0,0,0,12.393043,51.334502
12,23,4,4,17,3,3,0,1,0,0,1,0,0,0,0,0,13.733378,51.066333
13,23,4,3,12,2,3,5,2,0,0,1,1,0,0,0,0,12.44159,51.350824
28,23,4,3,6,2,3,5,2,0,0,1,1,0,0,0,0,13.923836,50.937795
12,23,5,11,17,5,3,5,3,0,0,1,0,0,0,0,0,13.734243,51.065642
12,23,4,2,7,1,2,0,1,0,1,1,0,0,0,0,0,13.747383,51.067523
22,23,4,1,15,7,2,0,1,0,0,1,0,0,0,0,0,13.282164,50.881989
12,23,3,31,16,6,3,0,6,0,1,1,1,0,0,0,0,13.714376,51.079782
12,23,3,31,15,6,3,5,3,0,1,1,0,0,0,0,1,13.772285,51.066697
26,23,3,30,17,5,2,5,3,0,0,1,1,0,0,0,0,14.618588,50.932806
30,23,3,29,17,4,3,0,7,0,0,1,1,0,0,0,0,12.661782,51.467018
25,23,3,29,10,4,3,0,6,0,0,1,0,0,0,1,0,14.111426,51.267937
23,23,4,26,14,4,3,0,7,0,0,1,0,0,0,0,0,12.130217,50.507017
12,23,3,29,5,4,3,6,4,2,0,1,0,1,0,0,0,13.777669,51.012952
22,23,3,29,11,4,2,5,3,0,0,1,1,0,0,0,0,12.797768,51.047832
12,23,5,9,16,3,2,5,3,0,0,1,1,0,0,0,0,13.735746,51.041883
21,23,3,29,16,4,2,3,6,0,0,1,0,0,0,1,0,13.06328,50.734917
13,23,3,28,14,3,3,3,5,0,0,1,1,0,0,0,0,12.39221,51.345528
26,23,3,28,11,3,3,3,6,0,0,1,1,0,0,1,0,14.632271,51.505459
27,23,3,28,17,3,3,0,6,0,0,1,0,0,0,0,0,13.534101,51.298005
13,23,3,27,17,2,3,5,2,0,0,1,1,0,0,0,0,12.411738,51.314613
28,23,3,27,9,2,3,5,3,0,1,1,1,0,0,0,0,13.927183,50.981156
22,23,3,27,13,2,3,1,5,0,0,1,0,0,0,0,1,12.948019,50.905329
22,23,5,13,15,7,3,0,1,0,1,1,0,0,0,0,0,13.327696,50.869109
